D:\simulator-windows-64\IMG\center_2019_02_16_21_50_45_818.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_45_818.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_45_818.jpg, 0, 0, 0, 7.892509E-05
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_46_147.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_46_147.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_46_147.jpg, 0, 0, 0, 7.866797E-05
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_46_334.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_46_334.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_46_334.jpg, 0, 0.5853862, 0, 1.228705
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_46_571.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_46_571.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_46_571.jpg, 0, 1, 0, 3.587833
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_46_693.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_46_693.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_46_693.jpg, 0, 1, 0, 5.456058
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_46_891.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_46_891.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_46_891.jpg, 0, 1, 0, 7.748175
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_47_042.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_47_042.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_47_042.jpg, -0.4557975, 1, 0, 9.428747
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_47_266.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_47_266.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_47_266.jpg, 0, 1, 0, 11.65942
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_47_529.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_47_529.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_47_529.jpg, 0, 1, 0, 14.25003
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_47_750.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_47_750.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_47_750.jpg, 0, 1, 0, 16.92649
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_47_920.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_47_920.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_47_920.jpg, -0.5213076, 1, 0, 18.50464
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_48_157.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_48_157.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_48_157.jpg, 0, 1, 0, 20.69264
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_48_439.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_48_439.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_48_439.jpg, 0, 1, 0, 23.46219
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_48_601.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_48_601.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_48_601.jpg, 0, 1, 0, 25.19812
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_48_757.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_48_757.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_48_757.jpg, -0.4715112, 1, 0, 26.40339
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_48_909.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_48_909.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_48_909.jpg, -0.01790598, 1, 0, 27.6832
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_49_063.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_49_063.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_49_063.jpg, 0, 1, 0, 29.15882
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_49_213.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_49_213.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_49_213.jpg, 0, 1, 0, 30.18881
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_49_418.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_49_418.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_49_418.jpg, -0.6034773, 1, 0, 30.15363
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_49_598.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_49_598.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_49_598.jpg, -1, 1, 0, 30.1189
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_49_762.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_49_762.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_49_762.jpg, -1, 1, 0, 30.14861
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_49_946.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_49_946.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_49_946.jpg, -0.4520875, 1, 0, 30.20333
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_50_185.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_50_185.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_50_185.jpg, 0, 1, 0, 30.18908
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_50_413.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_50_413.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_50_413.jpg, 0.6967881, 1, 0, 30.12443
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_50_591.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_50_591.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_50_591.jpg, 0.1706721, 1, 0, 30.17633
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_50_817.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_50_817.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_50_817.jpg, 0.8447092, 1, 0, 30.04639
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_51_065.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_51_065.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_51_065.jpg, 0.1101247, 1, 0, 30.07543
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_51_286.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_51_286.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_51_286.jpg, 0, 1, 0, 30.19551
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_51_542.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_51_542.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_51_542.jpg, -0.7653692, 1, 0, 30.12304
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_51_766.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_51_766.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_51_766.jpg, -1, 1, 0, 30.12317
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_51_972.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_51_972.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_51_972.jpg, -0.3744483, 1, 0, 30.09625
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_52_160.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_52_160.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_52_160.jpg, 0, 1, 0, 29.5646
D:\simulator-windows-64\IMG\center_2019_02_16_21_50_52_372.jpg, D:\simulator-windows-64\IMG\left_2019_02_16_21_50_52_372.jpg, D:\simulator-windows-64\IMG\right_2019_02_16_21_50_52_372.jpg, 0.6197636, 1, 0, 29.72814
